return_id,order_id,return_date,return_reason,refund_amount
R0000060,O00456768,2025-10-29,Wrong Item,496.69
R0000061,O00021979,2026-07-05,Customer Changed Mind,437.2
R0000062,O00041938,2025-12-18,Late Delivery,336.98
R0000063,O00034015,2025-09-21,Customer Changed Mind,461.06
R0000064,O00045217,2025-11-10,Customer Changed Mind,268.35
R0000065,O00011904,2026-06-23,Wrong Item,21.99
R0000066,O00370125,2026-01-18,Customer Changed Mind,238.6
R0000067,O00074878,2026-04-27,Late Delivery,82.67
R0000068,O00147981,2026-08-13,Damaged Product,247.62
R0000069,O00281788,2026-04-18,Wrong Item,280.01
R0000070,O00172670,2026-06-04,Customer Changed Mind,18.0
R0000071,O00188957,2025-09-02,Customer Changed Mind,72.72
R0000072,O00181243,2026-04-14,Late Delivery,358.85
R0000073,O00384761,2026-01-10,Wrong Item,190.36
R0000074,O00198173,2026-03-23,Late Delivery,111.52
R0000075,O00443722,2025-11-09,Late Delivery,131.09
R0000076,O00190470,2025-10-23,Late Delivery,44.72
R0000077,O00081251,2025-11-16,Wrong Item,67.92
R0000078,O00198732,2026-08-09,Customer Changed Mind,80.75
R0000079,O00159423,2026-05-10,Customer Changed Mind,462.57
R0000080,O00041803,2025-09-24,Late Delivery,276.01
R0000081,O00433079,2026-07-03,Customer Changed Mind,474.44
R0000082,O00311717,2026-08-03,Customer Changed Mind,297.9
R0000083,O00037687,2025-12-13,Wrong Item,193.71
R0000084,O00042086,2025-10-23,Customer Changed Mind,432.31
R0000085,O00129497,2026-08-17,Wrong Item,328.95
R0000086,O00402893,2026-02-06,Customer Changed Mind,394.63
R0000087,O00064587,2026-06-05,Damaged Product,21.41
R0000088,O00147469,2026-01-05,Damaged Product,44.18
R0000089,O00150734,2026-01-29,Customer Changed Mind,107.7
R0000090,O00183219,2026-01-23,Customer Changed Mind,81.76
R0000091,O00439357,2026-01-02,Late Delivery,350.1
R0000092,O00455555,2026-08-12,Late Delivery,415.67
R0000093,O00350920,2025-10-19,Late Delivery,297.67
R0000094,O00463831,2025-09-07,Wrong Item,483.58
R0000095,O00146520,2026-01-14,Customer Changed Mind,162.97
R0000096,O00269791,2025-11-05,Damaged Product,499.82
R0000097,O00190905,2026-05-23,Customer Changed Mind,11.45
R0000098,O00476828,2025-11-09,Wrong Item,494.81
R0000099,O00430354,2026-07-09,Late Delivery,69.48
R0000100,O00391951,2026-06-19,Customer Changed Mind,124.34
R0000101,O00171101,2025-10-02,Customer Changed Mind,329.28
R0000102,O00001209,2026-07-03,Late Delivery,389.82
R0000103,O00348712,2026-03-13,Wrong Item,168.04
R0000104,O00350702,2026-08-21,Damaged Product,277.12
R0000105,O00040405,2026-03-22,Late Delivery,123.57
R0000106,O00330716,2025-09-06,Late Delivery,40.54
R0000107,O00209645,2026-01-14,Wrong Item,467.38
R0000108,O00333834,2025-12-08,Customer Changed Mind,246.98
R0000109,O00197024,2025-10-14,Wrong Item,227.96
R0000110,O00101936,2026-05-09,Late Delivery,12.85
R0000111,O00303865,2025-12-08,Late Delivery,286.15
R0000112,O00267301,2025-11-10,Late Delivery,407.59
R0000113,O00157588,2025-09-06,Customer Changed Mind,279.79
R0000114,O00391591,2026-03-29,Wrong Item,144.6
R0000115,O00098874,2025-11-26,Late Delivery,278.21
R0000116,O00057140,2025-12-16,Late Delivery,71.65
R0000117,O00338358,2025-10-17,Late Delivery,128.2
R0000118,O00439393,2026-05-05,Wrong Item,424.8
R0000119,O00125164,2026-04-01,Damaged Product,127.63
R0000120,O00337717,2026-05-05,Late Delivery,345.66
R0000121,O00116953,2026-01-19,Wrong Item,358.06
R0000122,O00257900,2026-01-04,Customer Changed Mind,129.43
R0000123,O00468159,2026-02-17,Wrong Item,129.87
R0000124,O00137887,2025-12-04,Damaged Product,135.54
R0000125,O00422601,2025-10-30,Late Delivery,496.3
R0000126,O00292643,2025-11-01,Late Delivery,192.25
R0000127,O00087123,2026-02-08,Late Delivery,362.11
R0000128,O00494624,2026-02-05,Damaged Product,366.18
R0000129,O00311441,2026-01-09,Customer Changed Mind,72.23
R0000130,O00468610,2025-11-02,Late Delivery,310.51
R0000131,O00402891,2026-03-27,Late Delivery,89.93
R0000132,O00093472,2025-12-28,Wrong Item,74.24
R0000133,O00199684,2025-11-04,Wrong Item,194.65
R0000134,O00165834,2026-02-23,Customer Changed Mind,496.07
R0000135,O00174543,2026-05-22,Damaged Product,298.2
R0000136,O00116155,2026-04-26,Wrong Item,419.3
R0000137,O00233148,2026-02-05,Damaged Product,357.13
R0000138,O00347237,2025-12-22,Late Delivery,318.3
R0000139,O00004636,2026-02-14,Wrong Item,456.6
R0000140,O00095314,2025-10-12,Damaged Product,284.32
R0000141,O00081142,2026-03-18,Wrong Item,273.88
R0000142,O00302378,2026-01-06,Damaged Product,194.62
R0000143,O00238635,2025-09-15,Wrong Item,243.77
R0000144,O00203997,2026-01-07,Late Delivery,176.46
R0000145,O00322628,2026-06-25,Customer Changed Mind,268.04
R0000146,O00295876,2026-06-10,Customer Changed Mind,395.04
R0000147,O00221918,2026-03-18,Late Delivery,69.06
R0000148,O00152060,2026-02-24,Customer Changed Mind,191.61
R0000149,O00100061,2026-04-18,Late Delivery,150.63
R0000150,O00229749,2026-01-22,Wrong Item,251.17
R0000151,O00299832,2025-12-07,Customer Changed Mind,35.01
R0000152,O00461811,2026-06-26,Customer Changed Mind,244.42
R0000153,O00229157,2025-11-01,Damaged Product,314.52
R0000154,O00131239,2026-04-28,Late Delivery,352.97
R0000155,O00361918,2025-10-30,Late Delivery,323.27
R0000156,O00345953,2026-07-14,Customer Changed Mind,455.06
R0000157,O00288399,2026-05-23,Wrong Item,217.49
R0000158,O00227955,2025-09-25,Customer Changed Mind,421.08
R0000159,O00072857,2026-07-22,Wrong Item,37.67
R0000160,O00126337,2026-08-12,Damaged Product,352.54
R0000161,O00178755,2025-12-11,Late Delivery,428.16
R0000162,O00257321,2026-07-18,Customer Changed Mind,24.84
R0000163,O00148187,2026-05-15,Customer Changed Mind,353.06
R0000164,O00260387,2025-12-22,Damaged Product,230.19
R0000165,O00496474,2026-05-13,Customer Changed Mind,414.11
R0000166,O00499044,2026-03-27,Late Delivery,474.16
R0000167,O00441204,2026-05-29,Late Delivery,83.41
R0000168,O00041538,2026-07-11,Damaged Product,67.83
R0000169,O00484616,2026-01-17,Customer Changed Mind,276.7
R0000170,O00493800,2026-05-14,Wrong Item,82.12
R0000171,O00305597,2026-02-09,Customer Changed Mind,159.02
R0000172,O00042124,2025-11-10,Late Delivery,122.78
R0000173,O00222109,2025-12-17,Late Delivery,290.42
R0000174,O00332700,2025-09-24,Wrong Item,362.08
R0000175,O00398292,2026-03-18,Late Delivery,431.83
R0000176,O00344429,2026-04-27,Customer Changed Mind,77.03
R0000177,O00206812,2026-02-14,Wrong Item,66.47
R0000178,O00344717,2026-01-27,Wrong Item,97.17
R0000179,O00299365,2025-12-23,Damaged Product,42.51
R0000180,O00287232,2025-10-05,Late Delivery,378.94
R0000181,O00087625,2026-04-18,Wrong Item,335.16
R0000182,O00098056,2026-06-30,Damaged Product,51.71
R0000183,O00041951,2026-01-25,Late Delivery,481.97
R0000184,O00213276,2025-09-04,Damaged Product,238.48
R0000185,O00166630,2026-08-08,Customer Changed Mind,294.59
R0000186,O00082156,2026-04-21,Damaged Product,131.92
R0000187,O00071649,2026-07-19,Damaged Product,164.7
R0000188,O00121920,2026-07-06,Wrong Item,73.7
R0000189,O00108112,2025-11-26,Customer Changed Mind,194.02
R0000190,O00143973,2026-06-02,Wrong Item,38.63
R0000191,O00051408,2025-12-12,Customer Changed Mind,20.51
R0000192,O00119960,2026-02-26,Customer Changed Mind,214.38
R0000193,O00478289,2025-10-28,Damaged Product,492.78
R0000194,O00284943,2026-07-10,Wrong Item,453.25
R0000195,O00185859,2025-10-05,Damaged Product,169.56
R0000196,O00234572,2026-02-27,Wrong Item,468.19
R0000197,O00318380,2026-03-27,Damaged Product,271.05
R0000198,O00197707,2025-12-18,Customer Changed Mind,444.01
R0000199,O00359724,2025-09-30,Customer Changed Mind,203.06
R0000200,O00006077,2025-10-03,Wrong Item,56.42
R0000201,O00063100,2026-04-10,Customer Changed Mind,107.64
R0000202,O00433870,2025-11-02,Late Delivery,334.12
R0000203,O00151220,2026-01-17,Damaged Product,76.19
R0000204,O00274194,2025-09-20,Wrong Item,317.95
R0000205,O00487590,2026-07-11,Late Delivery,134.49
R0000206,O00055372,2026-05-07,Wrong Item,184.65
R0000207,O00433579,2025-09-16,Late Delivery,40.97
R0000208,O00005095,2025-11-25,Wrong Item,146.82
R0000209,O00234308,2025-11-13,Late Delivery,324.25
R0000210,O00318025,2025-08-31,Wrong Item,334.39
R0000211,O00025651,2026-07-13,Late Delivery,201.54
R0000212,O00467083,2026-07-26,Damaged Product,31.13
R0000213,O00326623,2026-05-25,Wrong Item,72.17
R0000214,O00175838,2026-05-01,Late Delivery,200.68
R0000215,O00212933,2025-12-13,Damaged Product,434.86
R0000216,O00190076,2026-05-06,Damaged Product,326.86
R0000217,O00329745,2026-01-29,Late Delivery,310.78
R0000218,O00173771,2026-03-04,Damaged Product,93.89
R0000219,O00497998,2025-09-25,Wrong Item,339.5
R0000220,O00097210,2025-09-12,Customer Changed Mind,314.26
R0000221,O00488162,2025-10-02,Late Delivery,365.29
R0000222,O00268223,2026-06-27,Customer Changed Mind,400.4
R0000223,O00152520,2026-08-06,Late Delivery,98.25
R0000224,O00087857,2025-09-25,Customer Changed Mind,179.6
R0000225,O00450424,2025-10-04,Customer Changed Mind,282.42
R0000226,O00323406,2026-01-02,Damaged Product,163.53
R0000227,O00145524,2025-10-10,Wrong Item,197.6
R0000228,O00391587,2026-06-01,Damaged Product,10.3
R0000229,O00414467,2025-11-17,Customer Changed Mind,115.11
R0000230,O00297589,2026-07-21,Customer Changed Mind,351.47
R0000231,O00311039,2026-02-02,Late Delivery,419.84
R0000232,O00475960,2025-11-01,Customer Changed Mind,116.29
R0000233,O00353218,2026-05-03,Wrong Item,354.73
R0000234,O00156382,2025-09-13,Customer Changed Mind,377.68
R0000235,O00048498,2025-11-09,Late Delivery,201.11
R0000236,O00160924,2026-07-23,Customer Changed Mind,124.72
R0000237,O00331285,2026-02-13,Wrong Item,83.17
R0000238,O00103809,2026-05-30,Damaged Product,412.53
R0000239,O00177498,2025-08-31,Wrong Item,245.78
R0000240,O00380719,2026-02-14,Wrong Item,267.4
R0000241,O00015100,2026-07-27,Wrong Item,339.31
R0000242,O00177924,2026-03-18,Damaged Product,299.53
R0000243,O00445329,2025-11-11,Late Delivery,206.5
R0000244,O00484913,2025-12-09,Wrong Item,155.83
R0000245,O00372227,2026-01-22,Late Delivery,93.99
R0000246,O00030525,2026-07-03,Wrong Item,109.46
R0000247,O00254282,2026-02-24,Wrong Item,274.98
R0000248,O00027297,2025-09-07,Late Delivery,424.08
R0000249,O00473737,2026-02-28,Damaged Product,339.35
R0000250,O00361820,2026-01-23,Wrong Item,305.04
R0000251,O00142564,2026-08-05,Late Delivery,29.25
R0000252,O00480970,2025-09-11,Wrong Item,356.59
R0000253,O00465275,2025-12-26,Late Delivery,155.01
R0000254,O00084390,2026-01-21,Customer Changed Mind,47.23
R0000255,O00070825,2025-12-27,Late Delivery,187.33
R0000256,O00211710,2026-06-11,Damaged Product,87.61
R0000257,O00061188,2026-04-21,Late Delivery,171.38
R0000258,O00114827,2026-07-22,Late Delivery,132.6
R0000259,O00197375,2025-11-09,Customer Changed Mind,204.31
R0000260,O00226829,2026-05-29,Customer Changed Mind,277.63
R0000261,O00195952,2026-07-24,Customer Changed Mind,292.11
R0000262,O00445667,2026-06-17,Customer Changed Mind,372.75
R0000263,O00263778,2026-08-22,Wrong Item,43.43
R0000264,O00137365,2026-05-03,Customer Changed Mind,111.92
R0000265,O00378458,2025-10-02,Customer Changed Mind,134.51
R0000266,O00151746,2025-12-19,Late Delivery,189.09
R0000267,O00090629,2026-08-16,Customer Changed Mind,269.4
R0000268,O00024542,2026-05-24,Late Delivery,481.35
R0000269,O00126392,2025-09-21,Damaged Product,65.81
R0000270,O00182921,2026-07-18,Wrong Item,367.26
R0000271,O00003514,2025-10-09,Wrong Item,121.72
R0000272,O00173121,2025-10-04,Damaged Product,24.74
R0000273,O00182910,2026-07-01,Wrong Item,428.46
R0000274,O00424350,2025-11-16,Late Delivery,135.49
R0000275,O00481391,2026-06-28,Wrong Item,45.26
R0000276,O00270264,2025-09-02,Damaged Product,420.27
R0000277,O00123342,2026-03-09,Customer Changed Mind,357.35
R0000278,O00006850,2026-07-26,Wrong Item,61.29
R0000279,O00295201,2025-12-22,Customer Changed Mind,330.53
R0000280,O00203765,2026-06-01,Customer Changed Mind,408.78
R0000281,O00213838,2026-06-15,Late Delivery,300.57
R0000282,O00049827,2025-10-20,Wrong Item,363.46
R0000283,O00268105,2026-08-13,Customer Changed Mind,267.26
R0000284,O00031349,2025-11-18,Late Delivery,28.65
R0000285,O00009247,2026-05-19,Damaged Product,64.94
R0000286,O00414210,2025-12-13,Damaged Product,340.7
R0000287,O00277458,2026-05-28,Damaged Product,24.73
R0000288,O00230006,2026-02-12,Damaged Product,346.04
R0000289,O00064002,2026-01-18,Customer Changed Mind,256.21
R0000290,O00445352,2026-02-17,Wrong Item,203.35
R0000291,O00462747,2025-09-03,Customer Changed Mind,165.3
R0000292,O00338794,2026-02-16,Wrong Item,90.63
R0000293,O00037411,2025-12-10,Wrong Item,244.86
R0000294,O00416625,2026-03-22,Late Delivery,130.5
R0000295,O00427005,2025-11-15,Late Delivery,270.18
R0000296,O00278406,2025-12-24,Late Delivery,390.81
R0000297,O00458921,2025-10-14,Late Delivery,104.83
R0000298,O00179873,2026-03-21,Customer Changed Mind,494.69
R0000299,O00231933,2026-07-23,Wrong Item,53.79
R0000300,O00231999,2026-04-27,Late Delivery,276.32
R0000301,O00188106,2026-07-19,Wrong Item,278.7
R0000302,O00176430,2026-08-17,Damaged Product,101.54
R0000303,O00201523,2026-07-25,Customer Changed Mind,164.78
R0000304,O00249036,2025-09-25,Late Delivery,226.72
R0000305,O00321653,2026-04-22,Customer Changed Mind,105.54
R0000306,O00322825,2026-03-08,Damaged Product,355.76
R0000307,O00405164,2026-07-29,Damaged Product,71.06
R0000308,O00162995,2026-06-24,Wrong Item,346.64
R0000309,O00242095,2026-06-30,Wrong Item,109.72
R0000310,O00321214,2026-02-09,Damaged Product,418.45
R0000311,O00037043,2026-06-03,Damaged Product,266.33
R0000312,O00001447,2026-08-25,Damaged Product,487.17
R0000313,O00096074,2026-01-31,Damaged Product,169.98
R0000314,O00115552,2026-05-27,Wrong Item,143.81
R0000315,O00019076,2026-02-10,Late Delivery,102.17
R0000316,O00080023,2026-03-11,Late Delivery,24.64
R0000317,O00424708,2026-02-01,Wrong Item,462.76
R0000318,O00341559,2026-03-14,Wrong Item,180.7
R0000319,O00257396,2025-12-17,Customer Changed Mind,303.66
R0000320,O00456186,2026-07-23,Damaged Product,298.15
R0000321,O00487930,2026-05-08,Wrong Item,150.2
R0000322,O00362036,2026-03-24,Damaged Product,336.94
R0000323,O00491944,2025-11-02,Damaged Product,126.19
R0000324,O00387346,2025-12-11,Damaged Product,427.18
R0000325,O00149122,2026-03-08,Damaged Product,118.51
R0000326,O00452014,2025-12-18,Wrong Item,423.94
R0000327,O00252362,2026-02-16,Wrong Item,443.05
R0000328,O00364255,2026-08-18,Late Delivery,11.05
R0000329,O00227897,2026-05-25,Customer Changed Mind,254.66
R0000330,O00041346,2026-06-09,Customer Changed Mind,46.22
R0000331,O00350378,2026-08-11,Damaged Product,26.18
R0000332,O00011981,2026-04-17,Damaged Product,416.54
R0000333,O00349051,2025-09-08,Customer Changed Mind,409.35
R0000334,O00166754,2026-08-05,Customer Changed Mind,313.58
R0000335,O00362011,2026-03-11,Customer Changed Mind,409.39
R0000336,O00160696,2025-12-30,Customer Changed Mind,142.97
R0000337,O00206088,2025-12-30,Customer Changed Mind,427.38
R0000338,O00052189,2026-04-20,Late Delivery,180.61
R0000339,O00022523,2025-12-26,Damaged Product,294.0
R0000340,O00379833,2026-06-03,Late Delivery,31.87
R0000341,O00462631,2026-02-14,Customer Changed Mind,155.71
R0000342,O00487253,2026-04-08,Damaged Product,268.12
R0000343,O00145372,2025-10-10,Late Delivery,86.24
R0000344,O00449233,2025-12-25,Late Delivery,88.2
R0000345,O00036945,2026-07-28,Damaged Product,98.23
R0000346,O00330244,2025-11-14,Damaged Product,340.48
R0000347,O00304082,2026-04-03,Customer Changed Mind,475.53
R0000348,O00339266,2026-03-01,Damaged Product,350.17
R0000349,O00217398,2025-10-18,Wrong Item,442.08
R0000350,O00390838,2025-10-14,Late Delivery,478.97
R0000351,O00032506,2025-09-17,Damaged Product,195.12
R0000352,O00322075,2026-04-26,Wrong Item,445.27
R0000353,O00006635,2025-09-24,Late Delivery,470.05
R0000354,O00031154,2025-12-07,Late Delivery,316.07
R0000355,O00093482,2026-07-27,Customer Changed Mind,241.97
R0000356,O00098487,2025-08-26,Customer Changed Mind,343.53
R0000357,O00454307,2026-06-14,Customer Changed Mind,22.58
R0000358,O00209750,2026-03-24,Damaged Product,74.78
R0000359,O00404602,2026-07-02,Wrong Item,447.22
R0000360,O00324757,2026-06-02,Damaged Product,197.85
R0000361,O00457935,2026-04-09,Wrong Item,238.41
R0000362,O00443688,2026-07-08,Damaged Product,496.67
R0000363,O00051955,2026-05-20,Damaged Product,161.35
R0000364,O00087347,2025-09-05,Damaged Product,409.32
R0000365,O00052311,2026-03-08,Wrong Item,467.75
R0000366,O00042830,2026-02-25,Damaged Product,361.97
R0000367,O00298798,2025-12-18,Wrong Item,310.99
R0000368,O00468471,2026-07-05,Wrong Item,283.62
R0000369,O00290981,2025-08-30,Late Delivery,359.78
R0000370,O00463004,2025-11-17,Late Delivery,78.16
R0000371,O00072097,2025-10-04,Customer Changed Mind,499.81
R0000372,O00290192,2026-02-07,Late Delivery,383.47
R0000373,O00117811,2026-05-16,Damaged Product,338.52
R0000374,O00281576,2026-06-21,Damaged Product,243.18
R0000375,O00026080,2025-11-04,Customer Changed Mind,454.99
R0000376,O00470445,2025-09-11,Late Delivery,179.17
R0000377,O00401261,2026-02-20,Customer Changed Mind,166.13
R0000378,O00262830,2025-11-16,Customer Changed Mind,407.82
R0000379,O00003643,2025-12-23,Wrong Item,140.89
R0000380,O00240371,2026-02-12,Customer Changed Mind,251.13
R0000381,O00320506,2026-01-01,Wrong Item,64.2
R0000382,O00495154,2025-10-13,Damaged Product,203.8
R0000383,O00019285,2026-05-22,Customer Changed Mind,426.26
R0000384,O00089738,2026-07-17,Customer Changed Mind,408.21
R0000385,O00023913,2025-12-21,Damaged Product,314.37
R0000386,O00087059,2026-03-17,Wrong Item,488.54
R0000387,O00143994,2026-06-21,Late Delivery,496.56
R0000388,O00225342,2026-08-02,Wrong Item,267.33
R0000389,O00329350,2025-12-31,Wrong Item,286.46
R0000390,O00435327,2025-09-18,Customer Changed Mind,181.87
R0000391,O00423593,2025-10-12,Damaged Product,313.82
R0000392,O00482307,2026-02-24,Customer Changed Mind,15.04
R0000393,O00030804,2025-12-01,Damaged Product,59.21
R0000394,O00013764,2026-03-27,Customer Changed Mind,43.7
R0000395,O00239376,2025-10-05,Late Delivery,185.35
R0000396,O00435686,2025-10-17,Late Delivery,341.87
R0000397,O00069107,2025-09-08,Damaged Product,89.1
R0000398,O00049184,2026-04-02,Customer Changed Mind,63.01
R0000399,O00352542,2025-08-25,Wrong Item,174.56
R0000400,O00004714,2025-10-07,Late Delivery,353.51
R0000401,O00082912,2026-05-02,Damaged Product,138.62
R0000402,O00308051,2025-10-29,Late Delivery,379.06
R0000403,O00260828,2026-08-03,Wrong Item,136.41
R0000404,O00037607,2025-12-09,Customer Changed Mind,191.2
R0000405,O00421402,2026-02-14,Damaged Product,16.18
R0000406,O00345096,2025-12-30,Late Delivery,479.95
R0000407,O00089187,2025-10-17,Wrong Item,291.25
R0000408,O00178426,2026-02-13,Customer Changed Mind,246.0
R0000409,O00212390,2026-02-11,Wrong Item,246.56
R0000410,O00311888,2026-02-23,Late Delivery,397.08
R0000411,O00390908,2026-03-23,Late Delivery,296.62
R0000412,O00215213,2026-07-06,Wrong Item,486.18
R0000413,O00047278,2026-07-19,Damaged Product,403.16
R0000414,O00394647,2026-06-05,Late Delivery,326.68
R0000415,O00265959,2026-07-13,Late Delivery,350.1
R0000416,O00414510,2025-12-27,Damaged Product,143.32
R0000417,O00464551,2026-05-23,Customer Changed Mind,219.37
R0000418,O00274041,2025-09-21,Wrong Item,383.83
R0000419,O00099987,2025-10-23,Customer Changed Mind,254.61
R0000420,O00350967,2026-06-06,Wrong Item,263.46
R0000421,O00122087,2025-12-22,Wrong Item,483.46
R0000422,O00086219,2026-05-03,Customer Changed Mind,360.11
R0000423,O00420303,2025-09-23,Wrong Item,10.79
R0000424,O00445744,2026-06-03,Wrong Item,443.23
R0000425,O00024455,2026-06-26,Customer Changed Mind,282.51
R0000426,O00197453,2025-09-23,Late Delivery,119.21
R0000427,O00137291,2026-04-25,Wrong Item,146.85
R0000428,O00213412,2026-04-11,Late Delivery,457.87
R0000429,O00273371,2025-12-25,Customer Changed Mind,302.0
R0000430,O00435059,2025-12-07,Late Delivery,249.15
R0000431,O00303828,2025-09-28,Damaged Product,251.63
R0000432,O00199623,2026-07-29,Late Delivery,230.15
R0000433,O00032729,2025-12-03,Customer Changed Mind,93.85
R0000434,O00341970,2025-10-25,Damaged Product,49.96
R0000435,O00249513,2025-09-17,Customer Changed Mind,343.69
R0000436,O00336253,2026-03-30,Customer Changed Mind,315.7
R0000437,O00409834,2026-04-28,Wrong Item,65.35
R0000438,O00380450,2026-05-25,Late Delivery,491.15
R0000439,O00388983,2025-10-23,Late Delivery,318.84
R0000440,O00300557,2026-02-03,Damaged Product,485.47
R0000441,O00365869,2026-07-30,Late Delivery,243.81
R0000442,O00087794,2025-11-30,Customer Changed Mind,429.54
R0000443,O00091243,2025-10-27,Wrong Item,235.38
R0000444,O00407300,2026-06-11,Late Delivery,368.49
R0000445,O00136729,2025-09-19,Damaged Product,134.26
R0000446,O00045704,2025-10-24,Wrong Item,351.05
R0000447,O00137083,2025-10-06,Damaged Product,388.85
R0000448,O00332598,2026-03-23,Customer Changed Mind,255.23
R0000449,O00447626,2025-10-09,Late Delivery,171.34
R0000450,O00299922,2025-10-08,Customer Changed Mind,417.3
R0000451,O00312642,2026-02-07,Customer Changed Mind,248.02
R0000452,O00174376,2025-10-26,Late Delivery,62.16
R0000453,O00096899,2025-09-05,Damaged Product,140.28
R0000454,O00283528,2026-08-01,Damaged Product,211.07
R0000455,O00414861,2026-08-22,Customer Changed Mind,437.14
R0000456,O00424284,2026-06-09,Damaged Product,440.82
R0000457,O00049007,2025-12-12,Wrong Item,80.99
R0000458,O00158743,2025-12-31,Late Delivery,202.27
R0000459,O00442661,2026-02-27,Customer Changed Mind,461.86
R0000460,O00472170,2025-10-12,Late Delivery,426.54
R0000461,O00101006,2025-12-29,Damaged Product,460.18
R0000462,O00314299,2026-06-29,Late Delivery,63.0
R0000463,O00375944,2025-11-24,Customer Changed Mind,154.77
R0000464,O00287866,2026-01-22,Wrong Item,153.65
R0000465,O00307078,2025-12-24,Wrong Item,293.34
R0000466,O00349956,2026-02-21,Wrong Item,51.38
R0000467,O00377728,2026-07-22,Customer Changed Mind,378.19
R0000468,O00021392,2025-11-02,Customer Changed Mind,191.14
R0000469,O00325101,2026-02-16,Customer Changed Mind,191.6
R0000470,O00127769,2026-03-18,Customer Changed Mind,437.77
R0000471,O00121443,2025-09-13,Customer Changed Mind,190.67
R0000472,O00347023,2026-06-17,Customer Changed Mind,406.6
R0000473,O00160464,2026-04-01,Customer Changed Mind,140.56
R0000474,O00039250,2026-04-27,Customer Changed Mind,27.48
R0000475,O00316040,2026-05-31,Wrong Item,311.92
R0000476,O00054159,2026-06-28,Wrong Item,129.4
R0000477,O00143019,2026-07-04,Late Delivery,249.55
R0000478,O00118346,2026-05-08,Late Delivery,419.94
R0000479,O00018457,2026-07-26,Wrong Item,124.45
R0000480,O00029400,2026-07-24,Wrong Item,23.65
R0000481,O00258677,2026-03-26,Customer Changed Mind,26.64
R0000482,O00073455,2026-02-23,Late Delivery,259.23
R0000483,O00340904,2026-07-06,Late Delivery,172.01
